2020-06-22 13:52:33.6775 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:52:33

2020-06-22 13:52:33.8175 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:52:33

2020-06-22 13:52:36.9074 INFO (API Server) - Try to GET ALL books - Controller name: BooksController; Actionname: GetAll(); HTTP method : HttpGet; Time: 22.06.2020 13:52:36

2020-06-22 13:52:37.3774 INFO (API Server) - Try to GET ALL LineItems - Controller: AppreciationsController; Actionname: GetLineItems(); HTTP method : HttpGet; Time: 22.06.2020 13:52:37

2020-06-22 13:52:37.4274 INFO (API Server) -Try to GET Connected User's Role  - Controller : AspNetUserRolesController; Actionname: GetUserRole(...); HTTP method : HttpGet; Time: 22.06.2020 13:52:37

2020-06-22 13:52:39.0873 INFO (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:52:39

2020-06-22 13:52:39.2673 INFO INFORMATION DETAILS, Exception occured during operation : (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:52:39

2020-06-22 13:52:39.2773 INFO EXCEPTION DETAILS: Invalid object name 'Reviews'.

2020-06-22 13:52:39.2773 WARN WARNING DETAILS, Exception occured during operation : (API Server) -Try to GET Reviews for book 110 (Id) - Controller : BooksController; Actionname: GetBookReviews(...); HTTP method : HttpGet; Time: 22.06.2020 13:52:39

2020-06-22 13:52:39.2773 WARN EXCEPTION DETAILS: Invalid object name 'Reviews'.

